Epoch, Loss, Train Acc, Test Acc
1/200, 1.8834, 46.4000, 46.2300
2/200, 1.2932, 59.1300, 58.4100
3/200, 1.0053, 71.3680, 69.0700
4/200, 0.8116, 76.9700, 73.3200
5/200, 0.6893, 80.5740, 75.4300
6/200, 0.5898, 83.8060, 77.2000
7/200, 0.5028, 88.2420, 79.9800
8/200, 0.4432, 85.2000, 76.5400
9/200, 0.3863, 91.8040, 80.5600
10/200, 0.3340, 93.7320, 81.5400
11/200, 0.2944, 95.0900, 81.4900
12/200, 0.2517, 96.0420, 82.0800
13/200, 0.2313, 95.6260, 81.5600
14/200, 0.2063, 96.8540, 81.7200
15/200, 0.1890, 97.4980, 82.4300
16/200, 0.1573, 96.8280, 81.0100
17/200, 0.1501, 97.3060, 81.6400
18/200, 0.1424, 98.0360, 82.0200
19/200, 0.1238, 98.1180, 81.4000
20/200, 0.1186, 97.8240, 81.2800
21/200, 0.1085, 98.1460, 81.3500
22/200, 0.0964, 98.3120, 80.8000
23/200, 0.0973, 99.0920, 81.9700
24/200, 0.0885, 98.7140, 81.3100
25/200, 0.0830, 99.0780, 82.1400
26/200, 0.0841, 98.9740, 82.6600
27/200, 0.0816, 99.4240, 82.6700
28/200, 0.0689, 98.3020, 80.8500
29/200, 0.0727, 99.4560, 82.7500
30/200, 0.0606, 99.0260, 81.9100
31/200, 0.0589, 99.4620, 82.7900
32/200, 0.0541, 99.3980, 82.6200
33/200, 0.0537, 99.1280, 81.6700
34/200, 0.0530, 99.0400, 81.2400
35/200, 0.0575, 99.3500, 81.9200
36/200, 0.0449, 99.6220, 82.7400
37/200, 0.0423, 99.5660, 82.6100
38/200, 0.0422, 99.2880, 81.6900
39/200, 0.0398, 99.6300, 83.4700
40/200, 0.0407, 99.3480, 82.4900
41/200, 0.0355, 99.4660, 82.8800
42/200, 0.0418, 99.1560, 81.3800
43/200, 0.0389, 99.6220, 82.9600
44/200, 0.0377, 99.1140, 81.9400
45/200, 0.0352, 99.5900, 82.7500
46/200, 0.0311, 99.7160, 83.3800
47/200, 0.0319, 99.1660, 81.8300
48/200, 0.0368, 99.7360, 83.6600
49/200, 0.0297, 99.6580, 83.4100
50/200, 0.0337, 99.2020, 81.6400
51/200, 0.0315, 99.7160, 82.7500
52/200, 0.0279, 99.5500, 81.9900
53/200, 0.0253, 99.5140, 82.1300
54/200, 0.0248, 99.8600, 83.2000
55/200, 0.0317, 99.6180, 82.8100
56/200, 0.0295, 99.6400, 82.6500
57/200, 0.0273, 99.5280, 82.0700
58/200, 0.0244, 99.7620, 83.1100
59/200, 0.0290, 99.8740, 83.5400
60/200, 0.0185, 99.8720, 83.2600
61/200, 0.0241, 99.7160, 82.8600
62/200, 0.0202, 99.7240, 82.7700
